Time,P_load,P_g1,P_g2,P_bess,Q_load,Q_g1,Q_g2,Q_bess,freq,volt,w_rotor,T_mech
26.352,45.450124225188,7.8792366844069,7.8792366844067,29.697658831769,8.3811054787903,5.4919016502963,5.4919016502958,-2.6038465835151,59.002722487265,0.97998263831652,0.9898739230375,0.16053458223421
26.3552,47.274969113742,7.8731813621888,7.8731813621884,31.535039388134,8.5781497533086,5.2546945797922,5.2546945797915,-1.9323922271658,58.936463578129,0.98258006941323,0.99282246904162,0.16005951893613
26.3584,48.852309520193,8.18876706406,8.1887670640597,32.481351708956,8.7553460113092,4.9594585831764,4.9594585831752,-1.1647294546394,58.970331237026,0.99014258969709,0.99461850026051,0.15977287107065
26.3616,47.673990739289,8.0644868688549,8.0644868688549,31.551234730248,8.0433457855721,4.5849238788042,4.584923878803,-1.127669534897,59.076597176282,1.0007087495763,0.99536233858989,0.15965660400521
26.3648,45.025487668548,7.7210857885417,7.7210857885419,29.589015927333,7.0660074066571,4.1066865049131,4.1066865049121,-1.1485393185804,59.241626499344,1.0071305212311,0.99519254724452,0.15968806866919
26.368,42.467039385329,7.5775754662953,7.5775754662953,27.317063262463,6.4155942064387,3.7052549930118,3.705254993011,-0.99609326479438,59.361645783104,1.0105576953988,0.99327480742401,0.16000165846747
26.3712,40.42766987095,7.7456782693439,7.7456782693436,24.940992279454,6.0798859757896,3.5515256359731,3.5515256359722,-1.0243456477142,59.499461660176,1.0132810062661,0.99086763988969,0.16039662342058
26.3744,38.574612379601,7.8800072283182,7.8800072283178,22.818851253323,5.7351347649891,3.597031175526,3.5970311755247,-1.4601103116939,59.562562212607,1.0150580847854,0.98773970052367,0.16091177490198
26.3776,36.807078637115,7.7747201962008,7.7747201962006,21.261563972839,5.3344068092527,3.7426885761184,3.742688576117,-2.1521544746729,59.607559859281,1.0098445103862,0.98469766193667,0.16141661816524
26.3808,35.169396978408,7.4569365770456,7.4569365770455,20.259195697779,5.002296870728,3.7661429031078,3.7661429031067,-2.5311737361949,59.571463027963,1.0058801629386,0.98263234055993,0.16176403110836
26.384,33.753550710274,7.0501605605856,7.0501605605853,19.656710472715,4.7913413937483,3.7538505758275,3.7538505758266,-2.7175444336824,59.534343376175,1.0029795194116,0.98106744966063,0.16203023422106
26.3872,34.149286191346,7.0186703624754,7.0186703624747,20.115430345739,5.1804533000407,3.8811729706971,3.881172970696,-2.5830729107539,59.443398707781,0.9960707396299,0.9811342554878,0.16202714667401
26.3904,37.19746015187,7.5263513878499,7.5263513878491,22.148650761645,6.3429986441063,4.3824763171303,4.3824763171287,-2.4231299552005,59.346565636957,0.98848624710575,0.98219191347928,0.16186041622203
26.3936,40.773927218874,7.9805834859009,7.9805834859003,24.817286038395,7.522036813039,5.0462159262545,5.0462159262525,-2.5715693376016,59.165638195077,0.98383505204351,0.9841672419591,0.16154290030539
26.3968,43.576232223758,7.9917129500593,7.991712950059,27.598035423189,8.1415934503447,5.4361416002692,5.4361416002674,-2.7318637165611,59.07234522375,0.98156090921597,0.98727522052906,0.1610415570155
26.4,45.657241210684,7.8094904509781,7.8094904509778,30.044103678307,8.3721962036925,5.45339862482,5.4533986248186,-2.5357749074975,58.991696218672,0.98045647521575,0.99010832808544,0.16058793915894
26.4032,47.45041751261,7.8345433434361,7.8345433434356,31.787578433939,8.6006482810753,5.1602203640677,5.1602203640664,-1.7209658603872,58.981642333336,0.98359407828493,0.99292421786834,0.16013989682313
26.4064,48.906458569311,8.1448744056038,8.1448744056032,32.623056204023,8.7294767268421,4.9082734948086,4.9082734948069,-1.0882460855278,59.038055206744,0.99196332972319,0.99475178320357,0.1598536998398
26.4096,47.407861058565,7.9676262566697,7.9676262566692,31.478552908653,7.937046313698,4.486654985466,4.486654985464,-1.0374452518411,59.166712132779,1.0020521718129,0.99522024514403,0.15978715224509
26.4128,44.702678669137,7.608634658078,7.6086346580778,29.490831918563,6.9853305286277,4.0176319826818,4.01763198268,-1.0511182313724,59.316677485609,1.0078629327698,0.99493547382002,0.15984254556332
26.416,42.190338625816,7.5207361937929,7.5207361937928,27.153757425315,6.3895352421481,3.6431385492458,3.6431385492443,-0.89792758675668,59.415951416672,1.0111601541657,0.99294640371409,0.16017341267363
26.4192,40.191915537211,7.692823261544,7.6928232615438,24.81066865785,6.0431550794873,3.4850844510939,3.4850844510925,-0.92819936213688,59.473780256414,1.0138441321402,0.99035623605156,0.16060385133659
26.4224,38.346276414541,7.8157685921623,7.815768592162,22.71872216397,5.6539822951783,3.5754566212393,3.5754566212378,-1.4981157756387,59.515293975895,1.0147608124336,0.98733519549669,0.16110763722833
26.4256,36.612606715863,7.6841532508562,7.684153250856,21.247962209795,5.2824611736076,3.6917662111123,3.6917662111107,-2.1022545095945,59.529978453612,1.0096131210426,0.98419228776298,0.16163489643496
26.4288,35.003496533255,7.3430474881425,7.3430474881424,20.320820333988,4.9718367856415,3.7386675709098,3.7386675709084,-2.5066797022688,59.492318073527,1.0059871230266,0.98228491593873,0.16196175686696
26.432,33.67603372165,6.9708114061921,6.9708114061921,19.737639927247,4.8132343464719,3.6859862254136,3.6859862254127,-2.5599160736658,59.483067863724,1.0027123949017,0.98093762752339,0.1621971703812
26.4352,34.432711632676,7.0202070092061,7.020207009206,20.395576898375,5.3069539202238,3.8669853812818,3.866985381281,-2.4281866872317,59.420997236865,0.99544659740765,0.98098752079788,0.16220147924538
26.4384,37.648390223576,7.5795531517381,7.5795531517381,22.49299524466,6.5475239388766,4.4261123760967,4.426112376096,-2.3058623458252,59.291893116516,0.98821538584376,0.98231217813841,0.16199497834343
26.4416,41.161779776967,7.9737919467724,7.9737919467725,25.218563954579,7.6499404538846,5.0624914767184,5.0624914767177,-2.4761975235908,59.159237240777,0.98398207598872,0.98431114401071,0.16167773550088
26.4448,43.842388259601,7.9371888275926,7.9371888275928,27.973080969799,8.166769109952,5.4488417312041,5.4488417312036,-2.7320643279159,59.029292496032,0.98191501349852,0.98753699938156,0.1611610347906
26.448,45.855573031569,7.7403749587745,7.7403749587749,30.380504488629,8.399838445968,5.3745052646259,5.3745052646256,-2.3503172496481,58.948853996011,0.98078303198336,0.99042080868637,0.16070315705822
26.4512,47.669576584352,7.803897271763,7.8038972717635,32.06784742366,8.6493506472616,5.1121658591539,5.1121658591538,-1.5761218259638,58.916378020333,0.98457731162726,0.9929926680133,0.16029835930392
26.4544,48.897033637805,8.1076502345245,8.1076502345251,32.687834855331,8.7078332968923,4.8134151597935,4.8134151597936,-0.92013667100234,58.987834440388,0.99360255471157,0.99486673874557,0.1600083676492
26.4576,47.135343946211,7.8669820641986,7.8669820641992,31.407049446955,7.8359649176111,4.3933084351564,4.3933084351568,-0.95179339255154,59.119178701472,1.0030306483759,0.9951273690705,0.15997905863206
26.4608,44.383404954563,7.5411010357795,7.54110103578,29.306335768109,6.9243075398143,3.9270822755263,3.9270822755267,-0.93099879306777,59.321796654416,1.0086386668865,0.99468338934644,0.16006387672039
26.464,41.926981693876,7.4792124112343,7.4792124112347,26.973161634096,6.3567077977835,3.5559716265094,3.5559716265097,-0.75637497203297,59.457997609403,1.0120216342768,0.99261775057537,0.16041132360606
26.4672,39.96136875108,7.6711164014524,7.6711164014528,24.623253295724,5.9891212590121,3.4643287508194,3.4643287508197,-0.94067260384561,59.555679839573,1.0147153307119,0.9898233833329,0.1608792326627
26.4704,38.135335390486,7.7572485614672,7.7572485614677,22.624549270968,5.6007847479968,3.5333251454622,3.5333251454625,-1.4669980885185,59.607449976476,1.0146050895148,0.98694664329038,0.16136393500607
26.4736,36.43520080274,7.6040107994677,7.6040107994681,21.230579828754,5.2433372670165,3.664933264306,3.6649332643064,-2.0876575500475,59.602379017261,1.0094927088455,0.98377492535331,0.16190026007607
26.4768,34.848973996851,7.2737145724316,7.2737145724317,20.304700927542,4.9569245254681,3.6724245084375,3.6724245084378,-2.3890479119265,59.508984459904,1.0058515806382,0.98191363692175,0.16222325440402
26.48,33.638595981166,6.8991115434377,6.8991115434377,19.843360937971,4.8380962365316,3.6711399679123,3.6711399679123,-2.5053003295311,59.455212254536,1.0023534749391,0.98081776680442,0.16242046265934
26.4832,34.747388968025,7.0231414338609,7.0231414338612,20.704193541272,5.4629925894946,3.9031788120476,3.9031788120475,-2.3444702228452,59.381629339169,0.99482364950995,0.98091440592001,0.16241987038457
26.4864,38.093981433155,7.5678714410408,7.5678714410413,22.961812109663,6.7246175920265,4.4720828255012,4.4720828255011,-2.2206407265785,59.249354753831,0.98793744532462,0.98247623219474,0.16217661628024
26.4896,41.53058058194,7.9161474685349,7.9161474685354,25.702531773793,7.7492465046349,5.1170251539161,5.1170251539162,-2.4858855182513,59.138601201326,0.98403979540481,0.98453408505567,0.16185201304077
26.4928,44.106239379342,7.8321236138831,7.8321236138834,28.446944551172,8.1829822642623,5.3871997629758,5.387199762976,-2.5924891785763,59.057767351335,0.98210158521138,0.98775602133671,0.16133798085027
