t|Main,Pload|Main,Qload|Main,Pcmd_BESS|Main,Pcmd_gt|Main,f_poi_meas2|Main,f_poi_meas|Main
0.249,53.93793581,14.71162949,0,6.744754393,60.06976921,60.06976921
0.25,53.53388687,14.32156156,0,6.691544894,60.0552618,60.0552618
0.251,54.42334021,14.69369924,0,6.794993343,60.04257745,60.04257745
0.252,54.95448935,15.79856524,0,6.869516978,60.03148706,60.03148706
0.253,55.1221031,15.71258915,0,6.886288948,59.99504902,59.99504902
0.254,55.91444393,16.30240901,0,6.985527685,59.96318991,59.96318991
0.255,55.90031277,16.86053878,0,6.989682196,59.99450265,59.99450265
0.256,56.08780585,16.51788954,0,7.006874935,60.02188052,60.02188052
0.257,56.67346025,17.11144287,0,7.083029788,60.04581798,60.04581798
0.258,56.38780608,17.19629397,0,7.050135202,60.06674737,60.06674737
0.259,56.68698563,16.97228811,0,7.081890881,60.05640097,60.05640097
0.26,57.01049637,17.60306419,0,7.127732335,60.04735474,60.04735474
0.261,56.63028108,17.34041783,0,7.079095169,60.02996839,60.02996839
0.262,57.04866428,17.31346525,0,7.127436201,60.01476687,60.01476687
0.263,57.13354525,17.92880392,0,7.144450156,60.00902301,60.00902301
0.264,56.85706688,17.47427529,0,7.105771911,60.00400095,60.00400095
0.265,57.37288512,17.67729468,0,7.168721988,59.99960998,59.99960998
0.266,57.23776803,18.15892921,0,7.158093724,59.99577079,59.99577079
0.267,57.14271509,17.64622387,0,7.140187126,60.06126009,60.06126009
0.268,57.64068664,18.05454471,0,7.203726076,60.11851977,60.11851977
0.269,57.31127413,18.22985497,0,7.166861883,60.16858399,60.16858399
0.27,57.44055861,17.85548234,0,7.176583162,60.13870958,60.13870958
0.271,57.82224904,18.41148712,0,7.228392429,60.1125893,60.1125893
0.272,57.40811274,18.25411822,0,7.177333449,60.0770622,60.0770622
0.273,57.73491819,18.08216952,0,7.213153208,60.04599956,60.04599956
0.274,57.9217266,18.69005374,0,7.242488714,60.01884037,60.01884037
0.275,57.56392874,18.28568536,0,7.195038062,59.99457866,59.99457866
0.276,58.02663946,18.34286978,0,7.250074916,59.97336576,59.97336576
0.277,57.98414307,18.88070398,0,7.251266157,59.95481855,59.95481855
0.278,57.77260555,18.34499222,0,7.219643528,59.95258594,59.95258594
0.279,58.26923694,18.62413622,0,7.28162355,59.95063387,59.95063387
0.28,58.00573369,18.93069747,0,7.254239252,59.97533551,59.97533551
0.281,58.00518668,18.43716356,0,7.247615445,59.99693305,59.99693305
0.282,58.43828534,18.90215381,0,7.304496707,60.01581656,60.01581656
0.283,58.02909996,18.87976737,0,7.255944277,60.0323271,60.0323271
0.284,58.24324523,18.5802556,0,7.276842961,59.98211031,59.98211031
0.285,58.51582609,19.15347058,0,7.316165201,59.93820394,59.93820394
0.286,58.0933354,18.83829826,0,7.262223851,59.98318632,59.98318632
0.287,58.4782117,18.75805323,0,7.306315819,60.02251604,60.02251604
0.288,58.53256308,19.33283831,0,7.319546126,60.05690345,60.05690345
0.289,58.2141299,18.83285726,0,7.275688174,59.99534101,59.99534101
0.29,58.68389532,18.98646175,0,7.332886737,59.94151475,59.94151475
0.291,58.50818782,19.41267601,0,7.317122735,59.89445248,59.89445248
0.292,58.38045981,18.85103451,0,7.295105898,59.90378404,59.90378404
0.293,58.8431606,19.21400123,0,7.35426473,59.91194295,59.91194295
0.294,58.47913565,19.33978289,0,7.313042509,59.91907658,59.91907658
0.295,58.57764734,18.92249909,0,7.318911274,59.92844045,59.92844045
0.296,58.92889031,19.43792863,0,7.366911001,59.93662762,59.93662762
0.297,58.48571941,19.2430668,0,7.312218307,59.90060011,59.90060011
0.298,58.78417116,19.03480574,0,7.344484427,59.86909995,59.86909995
0.299,58.9407793,19.61066696,0,7.370083305,59.84155822,59.84155822
0.3,58.54673676,19.17535675,0,7.317979584,59.82761053,59.82761053
0.301,58.84594767,19.17045232,0,7.353823314,59.81541557,59.81541557
0.302,58.7563682,19.61576597,0,7.346889962,59.80475306,59.80475306
0.303,58.6010478,19.02974897,0,7.323896568,59.83406003,59.83406003
0.304,58.902434,19.22585198,0,7.361853709,59.85968418,59.85968418
0.305,58.67543173,19.482032,0,7.336848971,59.941144,59.941144
0.306,58.66521889,18.92381907,0,7.331240868,60.01236729,60.01236729
0.307,58.9179499,19.31898854,0,7.364902854,60.07464039,60.07464039
0.308,58.63952998,19.26018887,0,7.331404533,60.12908802,60.12908802
0.309,58.78013115,18.89062004,0,7.345261394,60.14357603,60.14357603
0.31,58.92651387,19.39614647,0,7.367080943,60.15624342,60.15624342
0.311,58.6552613,19.06455657,0,7.332262273,60.15229724,60.15229724
0.312,58.88943445,18.91564461,0,7.359082693,60.14884695,60.14884695
0.313,58.90254402,19.43734542,0,7.364666301,60.14070865,60.14070865
0.314,58.7082024,18.89753288,0,7.337873594,60.13359305,60.13359305
0.315,58.99558914,18.99364072,0,7.372902857,60.12737162,60.12737162
0.316,58.88224635,19.3937958,0,7.362391007,60.121932,60.121932
0.317,58.78556404,18.81031059,0,7.346882566,60.11879838,60.11879838
0.318,59.05027983,19.12108373,0,7.380717815,60.11605854,60.11605854
0.319,58.81905051,19.26105482,0,7.354470197,60.09988647,60.09988647
0.32,58.83513651,18.7864493,0,7.352634886,60.08574663,60.08574663
0.321,59.03173303,19.26527662,0,7.379514983,60.07338367,60.07338367
0.322,58.76032879,19.09330993,0,7.346296389,60.08653708,60.08653708
0.323,58.88535732,18.82170359,0,7.358676266,60.09803759,60.09803759
0.324,58.98311898,19.37362938,0,7.374268038,60.1080929,60.1080929
0.325,58.71831852,18.9575455,0,7.340158762,60.07485235,60.07485235
0.326,58.92039645,18.92219234,0,7.363243457,60.04578893,60.04578893
0.327,58.89908327,19.43580234,0,7.364275134,60.02037773,60.02037773
0.328,58.69505082,18.87060481,0,7.336428088,60.02178035,60.02178035
0.329,58.95149498,19.08355922,0,7.367551891,60.02300671,60.02300671
0.33,58.82409711,19.41190219,0,7.355188687,60.05909673,60.05909673
0.331,58.7174524,18.85292847,0,7.33844195,60.09065155,60.09065155
0.332,58.97487171,19.26849998,0,7.371394961,60.11824107,60.11824107
0.333,58.73765701,19.30882383,0,7.344360342,60.14236359,60.14236359
0.334,58.73745599,18.90445325,0,7.34036996,60.09444726,60.09444726
0.335,58.93672288,19.46312622,0,7.367744934,60.05255227,60.05255227
0.336,58.6367673,19.21204301,0,7.331032507,60.03026614,60.03026614
0.337,58.7602913,19.05246573,0,7.342884617,60.01078058,60.01078058
0.338,58.86293798,19.64618885,0,7.359391417,60.01441562,60.01441562
0.339,58.55679732,19.18266093,0,7.320104358,60.01759386,60.01759386
0.34,58.78237832,19.278233,0,7.3457991,60.02037272,60.02037272
0.341,58.74418885,19.77222712,0,7.345231112,60.02280237,60.02280237
0.342,58.51100199,19.19789529,0,7.313308376,59.98700913,59.98700913
0.343,58.80336581,19.5328136,0,7.349037216,59.9557138,59.9557138
0.344,58.62104804,19.7944153,0,7.330185693,59.91459396,59.91459396
0.345,58.52532136,19.27912837,0,7.314117835,59.87864139,59.87864139
0.346,58.80242279,19.78859785,0,7.350061947,59.89693885,59.89693885
0.347,58.52171455,19.72225196,0,7.31727822,59.91293699,59.91293699
0.348,58.59020898,19.42517341,0,7.321541878,59.92692474,59.92692474
0.349,58.78518158,20.02317463,0,7.349073913,59.93915474,59.93915474
0.35,58.48223571,19.65976498,0,7.311220753,59.93583585,59.93583585
0.351,58.68479638,19.60958158,0,7.333257946,59.93293403,59.93293403
0.352,58.74408097,20.17629253,0,7.344830724,59.93039686,59.93039686
0.353,58.47742208,19.63061123,0,7.30955489,59.90624311,59.90624311
0.354,58.75576482,19.83402779,0,7.342623024,59.8851246,59.8851246
0.355,58.65511487,20.22302688,0,7.334294614,59.89503903,59.89503903
0.356,58.49333389,19.63902946,0,7.310489161,59.90370758,59.90370758
0.357,58.79289571,20.05525425,0,7.348198697,59.9112868,59.9112868
0.358,58.55424474,20.1388508,0,7.321820536,59.91884327,59.91884327
0.359,58.54120772,19.70679567,0,7.315699588,59.92545015,59.92545015
0.36,58.77967434,20.25690752,0,7.347881656,59.9312268,59.9312268
0.361,58.4752514,20.02109198,0,7.310962935,59.95939995,59.95939995
0.362,58.61213662,19.82925124,0,7.324198336,59.98403276,59.98403276
0.363,58.74114509,20.41338296,0,7.344067218,59.98781684,59.98781684
0.364,58.44701086,19.92634436,0,7.306251958,59.9911254,59.9911254
0.365,58.69802907,19.99407322,0,7.33507339,59.9940182,59.9940182
0.366,58.6790602,20.48212483,0,7.337082641,59.99654747,59.99654747
0.367,58.46008489,19.88999663,0,7.306810292,59.99849295,59.99849295
0.368,58.7585502,20.19689165,0,7.343416054,60.00019395,60.00019395
0.369,58.58981853,20.43242007,0,7.326217072,60.01915951,60.01915951
0.37,58.50297616,19.8904277,0,7.311245811,60.03574179,60.03574179
0.371,58.78703041,20.37920272,0,7.348101334,60.04149455,60.04149455
0.372,58.5086621,20.29196328,0,7.315671671,60.0465244,60.0465244
0.373,58.57542059,19.97128281,0,7.319716886,60.05092218,60.05092218
0.374,58.76537491,20.54707429,0,7.346648677,60.05476732,60.05476732
0.375,58.45568485,20.16230461,0,7.307935062,60.04913309,60.04913309
0.376,58.65492921,20.09106962,0,7.329524881,60.04420688,60.04420688
0.377,58.71084347,20.6380261,0,7.340732026,60.03140965,60.03140965
0.378,58.43965097,20.07333347,0,7.304815065,60.02022056,60.02022056
0.379,58.72036102,20.25944748,0,7.338218403,60.0206267,60.0206267
0.38,58.62355096,20.63249846,0,7.330304714,60.02098181,60.02098181
0.381,58.46513747,20.03259081,0,7.306943163,60.0212923,60.0212923
0.382,58.77050137,20.4358418,0,7.345376763,60.02156376,60.02156376
0.383,58.53882579,20.50463318,0,7.319805186,60.01896942,60.01896942
0.384,58.53382437,20.0600986,0,7.314731802,60.01670108,60.01670108
0.385,58.78111015,20.60171354,0,7.348018869,60.0147178,60.0147178
0.386,58.47778911,20.35563761,0,7.311308924,60.0191034,60.0191034
0.387,58.61726847,20.15440034,0,7.324771899,60.02293789,60.02293789
0.388,58.73948505,20.72734398,0,7.343907413,60.01738395,60.01738395
0.389,58.44482088,20.22988143,0,7.306012942,60.01252794,60.01252794
0.39,58.69254387,20.28816845,0,7.334415757,60.00828216,60.00828216
0.391,58.67260577,20.76676099,0,7.33623173,60.01294955,60.01294955
