t|Main,Q_g8|LM2500_8,V_g8|LM2500_8,freq_gt_8|LM2500_8,Vlow_gt_8|LM2500_8,P_g8|LM2500_8
11.906,4.03417328,0.992643298,59.19913052,0.990412934,15.02711098
11.907,4.10849591,0.992613821,59.23415749,0.988999854,15.29689004
11.908,4.068961758,0.995720957,59.26478284,0.991483236,15.442733
11.909,3.983997587,0.998290979,59.26921385,0.99454907,15.45512736
11.91,3.938061478,1.00058296,59.27308805,0.99433206,15.36903481
11.911,3.765029072,1.002610093,59.27647539,0.996629754,15.16135442
11.912,3.635364203,1.004602427,59.31507207,0.998170991,14.9671264
11.913,3.506043998,1.005714903,59.34881854,0.997252733,14.73326201
11.914,3.337851262,1.006445647,59.37832431,0.998821217,14.50457972
11.915,3.230720212,1.007050204,59.43162681,0.998647867,14.36371568
11.916,3.11058679,1.007324064,59.47823112,0.99749738,14.2299045
11.917,3.001346577,1.007252824,59.51897896,0.998518795,14.1535985
11.918,2.985670627,1.007229718,59.54578524,0.99706598,14.17742774
11.919,2.947292469,1.007373098,59.56922295,0.99650842,14.19729502
11.92,2.925187965,1.007526937,59.55685547,0.997515742,14.25141065
11.921,2.999420278,1.007655467,59.54604214,0.995696862,14.36600588
11.922,3.021885953,1.008195343,59.53658764,0.995974663,14.42927542
11.923,3.079335844,1.008649166,59.51657669,0.997001553,14.50428027
11.924,3.199259349,1.007509315,59.4990804,0.995073422,14.58326693
11.925,3.22531262,1.005163565,59.48378275,0.995858298,14.59656042
11.926,3.310166013,1.002473094,59.48339123,0.996550223,14.6306297
11.927,3.402691682,1.000543038,59.48304891,0.994659946,14.64582288
11.928,3.404562602,0.998939651,59.48274961,0.995757377,14.61469729
11.929,3.469216599,0.997055909,59.44224882,0.995846754,14.62473275
11.93,3.515229749,0.996604733,59.40683751,0.994351316,14.60564936
11.931,3.48185351,0.996183841,59.37587612,0.995592863,14.56476567
11.932,3.510402577,0.995369468,59.32689608,0.994869592,14.57997982
11.933,3.500860868,0.996126666,59.28407105,0.994246981,14.55828931
11.934,3.455860671,0.99628155,59.24662757,0.995553389,14.53894885
11.935,3.488237912,0.996220273,59.22572586,0.99413123,14.56569451
11.936,3.447646223,0.996981823,59.20745073,0.994350009,14.54368775
11.937,3.416566861,0.997019827,59.22417737,0.995539973,14.54371073
11.938,3.441642767,0.996986089,59.23880208,0.993775944,14.57497263
11.939,3.387339777,0.997272147,59.25158899,0.994473367,14.55582487
11.94,3.385914105,0.996483363,59.28251092,0.995022031,14.58793185
11.941,3.429437716,0.995534448,59.30954709,0.992413149,14.65575053
11.942,3.424863314,0.994023688,59.33318579,0.992262473,14.73229846
11.943,3.501791174,0.991349953,59.33685275,0.991110062,14.93476726
11.944,3.618032539,0.989566074,59.3400589,0.988051088,15.22125169
11.945,3.717274155,0.987671603,59.34286216,0.987943591,15.51894105
11.946,3.90383442,0.985128319,59.27750097,0.986721775,15.9075126
11.947,4.103944219,0.984328953,59.22035331,0.984730435,16.30604749
11.948,4.220242139,0.983254149,59.17038704,0.985487965,16.63288468
11.949,4.414890008,0.981399504,59.1093462,0.984385387,16.98527312
11.95,4.576734098,0.981379749,59.05597597,0.98368055,17.27336867
11.951,4.656795177,0.980539776,59.00931245,0.984956943,17.47999498
11.952,4.79315968,0.97933654,58.96236373,0.983602105,17.68579053
11.953,4.822933482,0.979572261,58.92131476,0.983920937,17.80520755
