t|Main,P_g6|LM2500_6,Q_g6|LM2500_6,V_g6|LM2500_6,freq_gt_6|LM2500_6,Vlow_gt_6|LM2500_6
0.364,7.33313806,1.238157673,1.000848111,60.01799301,0.99153654
0.365,7.374705404,1.239034092,1.000870275,60.01539646,0.991935042
0.366,7.36685129,1.313821737,1.000865482,60.0131262,0.990592119
0.367,7.335853786,1.225779194,1.000904434,60.01114123,0.991647125
0.368,7.381895461,1.270923183,1.000872961,60.00980047,0.991443506
0.369,7.354911768,1.309614367,1.000881801,60.0086282,0.99061423
0.37,7.344473593,1.220740254,1.000906353,60.00745728,0.991700145
0.371,7.385065746,1.298246261,1.000915623,60.00643351,0.990779499
0.372,7.343023659,1.29256204,1.000922594,60.00553838,0.990755841
0.373,7.356874197,1.229748446,1.000942467,60.00506619,0.991715948
0.374,7.380773343,1.321529433,1.000930191,60.00465333,0.99035876
0.375,7.334326715,1.271867893,1.000972754,60.00429235,0.990962093
0.376,7.368775264,1.248234927,1.000994495,60.00337763,0.991608414
0.377,7.370973199,1.333453826,1.001009138,60.00257785,0.99019716
0.378,7.332027331,1.253059229,1.001024487,60.00187858,0.991156798
0.379,7.376747607,1.276161417,1.00104055,60.00125216,0.991323827
0.38,7.358634754,1.33364099,1.001060572,60.00070446,0.990224437
0.381,7.336996935,1.240254477,1.001063386,60.00059423,0.991333189
0.382,7.382049366,1.303228271,1.001073553,60.00049784,0.990795167
0.383,7.346740286,1.319021918,1.001104042,60.00041357,0.990381071
0.384,7.34866297,1.240008984,1.001116915,60.0005001,0.991462162
0.385,7.381883599,1.327185772,1.001161758,60.00057576,0.990297821
0.386,7.336178897,1.298404326,1.001147838,60.00064191,0.990627289
0.387,7.36175908,1.254002302,1.001200176,60.00107905,0.991493664
0.388,7.375248646,1.344687089,1.001163581,60.00146126,0.990053787
0.389,7.331370053,1.275999605,1.001216269,60.00179544,0.990904904
0.39,7.372730802,1.276331113,1.001231561,60.00296394,0.991351686
0.391,7.364872409,1.3492784,1.001259263,60.0039856,0.990074467
0.392,7.333700992,1.25992594,1.001263467,60.00388915,0.991153078
0.393,7.380266735,1.30357296,1.001252377,60.00380481,0.991019979
0.394,7.352880935,1.340696253,1.001295325,60.00373107,0.990234565
0.395,7.343073374,1.251020257,1.001311033,60.00380117,0.991365509
0.396,7.383397191,1.327674911,1.001359996,60.00386245,0.990491547
0.397,7.341124694,1.32066957,1.001384093,60.00391604,0.990515012
0.398,7.35511396,1.256920906,1.001404301,60.00336686,0.991498901
0.399,7.379637197,1.347343854,1.001416089,60.0028867,0.99018607
0.4,7.333995587,1.296813473,1.001440806,60.00246688,0.990819944
0.401,7.36894105,1.272680696,1.001477456,60.00263659,0.99150721
0.402,7.372000165,1.357478585,1.001495048,60.00278497,0.990127973
0.403,7.333813822,1.276416124,1.00153273,60.00210356,0.991115204
0.404,7.379129954,1.298322656,1.001526107,60.00150777,0.991319205
0.405,7.360871468,1.355716611,1.001588204,60.00098686,0.990259618
0.406,7.339802475,1.261716919,1.001593183,60.00037591,0.991386457
0.407,7.38451944,1.324267757,1.001632913,59.99984174,0.990882241
0.408,7.34875445,1.339627736,1.001649572,59.99937469,0.990497035
0.409,7.350589364,1.260432721,1.001687964,59.999577,0.991594865
