t|Main,Vload_4|Load_4,Qload_4|Load_4,Pload_4|Load_4
14.724,1.014231889,3.128321027,19.80808201
14.725,1.014251962,2.958929415,19.50822255
14.726,1.01386224,3.044674228,19.35215112
14.727,1.014326626,3.064689843,19.03931742
14.728,1.01411882,2.932480752,18.80790345
14.729,1.013767848,3.051780935,18.66524093
14.73,1.014242951,3.005509237,18.35651959
14.731,1.013823184,2.927857546,18.19239504
14.732,1.013650617,3.071402113,18.04789789
14.733,1.014053315,2.970708903,17.76402558
14.734,1.013549051,2.946647647,17.65620815
14.735,1.013606039,3.089032784,17.50377769
14.736,1.013855438,2.949276928,17.25754044
14.737,1.013343461,2.984677664,17.19470687
14.738,1.013529176,3.104921491,17.02732945
14.739,1.01367968,2.954254224,16.83586411
14.74,1.013171526,3.038769513,16.80303604
14.741,1.01363125,3.104823761,16.62478867
14.742,1.013502219,2.975397586,16.49723826
14.743,1.01317039,3.103664922,16.48160692
14.744,1.013701606,3.105464458,16.30144108
14.745,1.013423333,3.02003886,16.23705228
14.746,1.013173992,3.17202528,16.22328815
14.747,1.013608215,3.10904164,16.05269457
14.748,1.013190257,3.081468001,16.04785828
14.749,1.013122356,3.2439381,16.02156564
14.75,1.013456851,3.134378945,15.87925495
14.751,1.012970774,3.160118194,15.91550494
14.752,1.013132308,3.305113325,15.87116253
14.753,1.013312221,3.168506583,15.76992593
14.754,1.012866948,3.249962236,15.83864986
14.755,1.013208139,3.355876812,15.77414248
14.756,1.013286154,3.227145231,15.72263748
14.757,1.01278408,3.349136268,15.80287236
14.758,1.013315445,3.383711141,15.72121139
14.759,1.013090371,3.294035258,15.72940802
14.76,1.012864138,3.449993135,15.81149138
14.761,1.013388327,3.421928842,15.72837249
14.762,1.013067244,3.378546021,15.78482173
14.763,1.012996778,3.546086002,15.85037479
14.764,1.013400372,3.456486091,15.77760971
14.765,1.013025165,3.471785655,15.88050672
14.766,1.013054684,3.635175715,15.92126246
14.767,1.013342085,3.514753433,15.87481037
14.768,1.012905214,3.580863228,15.99993856
14.769,1.01315834,3.704685997,16.01020671
14.77,1.013271566,3.575824103,16.00372073
14.771,1.012930371,3.69180679,16.14581122
14.772,1.013399982,3.758658266,16.13070436
14.773,1.013364832,3.653789396,16.16840616
14.774,1.013040813,3.800589753,16.30266303
14.775,1.013581848,3.789957874,16.26578618
14.776,1.013299624,3.734381042,16.35364358
14.777,1.01316282,3.902216478,16.46914672
14.778,1.013636916,3.833722521,16.4322404
14.779,1.01327389,3.829702568,16.55418863
14.78,1.013360927,3.993940692,16.63991701
14.781,1.013708246,3.879314992,16.61443044
14.782,1.013379425,3.931873082,16.76458588
14.783,1.013559851,4.071880866,16.81371357
14.784,1.013815534,3.939281344,16.81695416
14.785,1.013462659,4.036661716,16.97407034
14.786,1.013903806,4.117986755,16.98462254
14.787,1.013905676,4.001910253,17.02543129
14.788,1.01362065,4.140788974,17.17762455
14.789,1.014160677,4.151847518,17.15958841
14.79,1.014003312,4.078950642,17.24072365
14.791,1.013850117,4.237218707,17.37222236
14.792,1.014306584,4.178973469,17.3363358
14.793,1.014042171,4.16014305,17.45392599
14.794,1.014030536,4.323103162,17.5490021
14.795,1.014388819,4.212154422,17.52052381
14.796,1.014043558,4.243425586,17.6598563
14.797,1.014239604,4.386106047,17.71492401
14.798,1.014473515,4.248889646,17.70485461
14.799,1.014150995,4.333964308,17.85561264
14.8,1.014443155,4.427754202,17.86839617
14.801,1.014602053,4.2995855,17.89057291
14.802,1.014294332,4.422626485,18.03504945
14.803,1.014817829,4.441982569,18.01053512
14.804,1.014689549,4.354873321,18.0694441
14.805,1.014503106,4.506479111,18.19027527
14.806,1.014965551,4.455227745,18.14446131
14.807,1.01475719,4.416904527,18.23564264
14.808,1.014743416,4.573174447,18.32267139
14.809,1.015083205,4.466741897,18.2715007
14.81,1.014815996,4.48529742,18.38942707
14.811,1.014916316,4.626891209,18.43163854
14.812,1.015208371,4.486870164,18.39725274
14.813,1.014870876,4.553234115,18.52460565
14.814,1.015191405,4.650143364,18.52393507
14.815,1.015285957,4.512028343,18.51734109
14.816,1.015037742,4.626391826,18.64116435
14.817,1.015508543,4.654427382,18.60196892
14.818,1.015446459,4.550378048,18.63154883
14.819,1.015260347,4.691078215,18.73380157
14.82,1.015723772,4.643488608,18.66587631
14.821,1.015515573,4.59328704,18.73256516
14.822,1.015442373,4.748114213,18.79944368
14.823,1.015833519,4.643643398,18.72585314
14.824,1.015605962,4.645954004,18.81485242
14.825,1.01569308,4.785434474,18.84073594
14.826,1.015940714,4.641947352,18.77969328
14.827,1.015715593,4.701228241,18.88520874
14.828,1.015972142,4.802900054,18.86828922
14.829,1.016121492,4.659117103,18.8349715
14.83,1.015829027,4.760087442,18.93458378
14.831,1.016270638,4.788906254,18.87573795
14.832,1.016187317,4.678546545,18.88166527
14.833,1.016011578,4.815438792,18.96627424
14.834,1.016467666,4.774299177,18.88041352
14.835,1.016344053,4.71218812,18.91960516
14.836,1.016249725,4.859169189,18.96891329
14.837,1.016602812,4.754772046,18.87447029
14.838,1.016345189,4.75113087,18.94399537
14.839,1.01643097,4.891744942,18.95471726
14.84,1.01668806,4.749012317,18.87419947
14.841,1.016446663,4.795119235,18.9560158
14.842,1.016700324,4.895036097,18.92245136
14.843,1.016819121,4.746049201,18.87107062
14.844,1.016584076,4.843279447,18.95781564
14.845,1.016966446,4.879145011,18.88731754
14.846,1.016959346,4.757506298,18.87201917
14.847,1.016727349,4.886142069,18.94074407
14.848,1.017121564,4.845283706,18.84114654
14.849,1.016958886,4.778814299,18.86723926
14.85,1.016901131,4.926823611,18.90817184
14.851,1.017219812,4.825124576,18.80330221
14.852,1.017006643,4.811834839,18.85627521
14.853,1.01707383,4.950470935,18.85623891
14.854,1.017318252,4.806923672,18.76397253
14.855,1.017068629,4.852692052,18.83940157
14.856,1.017220938,4.958370182,18.79867786
14.857,1.017378955,4.804406654,18.73579332
14.858,1.017140248,4.895513759,18.81103008
14.859,1.017507752,4.931420772,18.7327347
14.86,1.017448752,4.809002757,18.7110883
14.861,1.017284735,4.938955684,18.77620198
14.862,1.017666897,4.901766247,18.6739141
14.863,1.017546568,4.827819256,18.69083122
14.864,1.017442395,4.972912521,18.7266453
14.865,1.017730293,4.87084808,18.61636132
14.866,1.017510551,4.857039281,18.6680489
14.867,1.017533227,4.998822222,18.66603071
14.868,1.017752146,4.85556826,18.57054013
14.869,1.017498005,4.896034636,18.63831538
14.87,1.017675447,5.000469719,18.59697606
14.871,1.017812245,4.847167985,18.53184351
14.872,1.017591155,4.939572164,18.60836547
14.873,1.017883058,4.980205017,18.53117451
14.874,1.017884603,4.854800412,18.50634903
14.875,1.017643766,4.980072067,18.56904511
14.876,1.018006688,4.942576833,18.46468864
14.877,1.017798741,4.869422302,18.48182551
14.878,1.017704506,5.014978619,18.51720398
14.879,1.017973778,4.912939656,18.40999267
14.88,1.017724295,4.895519836,18.45924405
