t|Main,Vload_2|Load_2,Qload_2|Load_2,Pload_2|Load_2
14.946,1.017673837,5.185371676,18.21841258
14.947,1.017542008,5.116336376,18.25297581
14.948,1.017410286,5.260833032,18.30471941
14.949,1.017631289,5.156300988,18.21502181
14.95,1.017378691,5.147538772,18.28525599
14.951,1.017398802,5.286518058,18.30175395
14.952,1.017587756,5.142518539,18.22735559
14.953,1.017332306,5.18780852,18.31304896
14.954,1.017465922,5.285564909,18.28750948
14.955,1.017571444,5.13568446,18.24236492
14.956,1.017338016,5.231124165,18.3348412
14.957,1.017587264,5.261650155,18.27433786
14.958,1.017550902,5.142514632,18.26850098
14.959,1.017331685,5.269139265,18.34553877
14.96,1.017639233,5.223541979,18.25864021
14.961,1.017470254,5.157721443,18.29518153
14.962,1.01736936,5.302840045,18.34630742
14.963,1.017602672,5.195571651,18.2577769
14.964,1.017342494,5.185525114,18.32471701
14.965,1.017403554,5.320997866,18.3403327
14.966,1.017555991,5.175543646,18.26530544
14.967,1.017303372,5.223411618,18.35445678
14.968,1.017400197,5.320936544,18.3299357
14.969,1.017490084,5.170627647,18.28536384
14.97,1.017226575,5.26449723,18.37353612
14.971,1.017505664,5.290286133,18.31063777
14.972,1.017448917,5.17299478,18.30568195
14.973,1.017274846,5.30367673,18.38323737
14.974,1.017556822,5.255557868,18.29594566
14.975,1.0174363,5.189194065,18.33070093
14.976,1.017328556,5.332315359,18.38038471
14.977,1.017554057,5.221350735,18.28723621
14.978,1.017340721,5.213924348,18.35698173
14.979,1.017315624,5.349314499,18.36897958
14.98,1.017462329,5.201028217,18.29419661
14.981,1.017177447,5.248264014,18.37921963
14.982,1.017345122,5.342635881,18.35252972
14.983,1.017420092,5.189847199,18.30805902
14.984,1.017176076,5.288026223,18.39905235
14.985,1.017457,5.313581894,18.33365034
14.986,1.017421948,5.196100172,18.32761839
14.987,1.017213372,5.325092441,18.40212429
14.988,1.017481282,5.273110446,18.31121979
14.989,1.017282836,5.209551061,18.34673024
14.99,1.017194658,5.355927948,18.39384438
14.991,1.01741858,5.243946728,18.30047024
14.992,1.017174239,5.235561304,18.36543596
14.993,1.017219487,5.368634079,18.37585592
14.994,1.01737644,5.21741826,18.29836271
14.995,1.017129331,5.268365652,18.38673364
14.996,1.017225674,5.362348276,18.35613899
14.997,1.017322161,5.210056943,18.31017503
14.998,1.017050968,5.305775046,18.39758095
14.999,1.01732154,5.326265851,18.33075543
15.0,1.017233405,5.209173663,18.3265303
15.001,1.017012395,5.342013504,18.40187369
15.002,1.017300471,5.290632058,18.31124841
15.003,1.017115214,5.225853453,18.34538797
15.004,1.017031365,5.36943309,18.39071261
15.005,1.017254506,5.25420409,18.2963403
15.006,1.017009233,5.25031202,18.36538138
15.007,1.017062386,5.385731209,18.37413874
15.008,1.017226504,5.235627607,18.29639939
15.009,1.016974643,5.284293606,18.38069486
15.01,1.017101435,5.374688917,18.34930816
15.011,1.01718278,5.220142036,18.30305115
15.012,1.016948859,5.319644334,18.39166704
15.013,1.017204274,5.340539692,18.32384447
15.014,1.017128827,5.223016813,18.31802323
15.015,1.016931871,5.353007972,18.39130782
15.016,1.017222448,5.297679184,18.29821214
15.017,1.017010248,5.235524597,18.3344704
