t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
11.604,1.790312822,1.010926767,59.5214134,1.012606954,6.133159554
11.605,1.816229279,1.011119696,59.50610717,1.011188012,6.095847022
11.606,1.717580701,1.01114733,59.49272438,1.012991412,6.11146554
11.607,1.804021704,1.010853544,59.48102332,1.011797111,6.177034553
11.608,1.802575146,1.011157023,59.47079267,1.011396305,6.114953201
11.609,1.730142417,1.010993721,59.46199506,1.013100845,6.144650022
11.61,1.793887005,1.010834136,59.45430299,1.011051854,6.189380066
11.611,1.735015041,1.011114885,59.45480865,1.011694809,6.133870551
11.612,1.694831948,1.010874091,59.45525077,1.013048942,6.2006855
11.613,1.799536685,1.010845569,59.45559245,1.010711032,6.217399647
11.614,1.704163863,1.011037391,59.4558912,1.012029142,6.163081499
11.615,1.697560073,1.010777448,59.4561524,1.01277414,6.236556339
11.616,1.751288561,1.010824224,59.45638079,1.010746344,6.225998106
11.617,1.644982498,1.01094581,59.45523607,1.012354688,6.210866563
11.618,1.693590303,1.010668953,59.45423521,1.012228247,6.290464097
11.619,1.739841055,1.010856627,59.46767495,1.010851355,6.252460695
11.62,1.631789572,1.01084309,59.47942579,1.012609731,6.253542616
11.621,1.675527975,1.010589714,59.48969999,1.011394778,6.324033616
11.622,1.648279309,1.010902769,59.50501306,1.011067964,6.277504832
11.623,1.564215403,1.010771927,59.51840183,1.012759053,6.33104999
11.624,1.663460373,1.010583306,59.53010812,1.010789838,6.385143096
11.625,1.606892963,1.010852182,59.54325622,1.011345525,6.32903788
11.626,1.569539573,1.010608853,59.55475209,1.012752308,6.39508112
11.627,1.639362468,1.010578512,59.56480334,1.010481632,6.42356559
11.628,1.557388516,1.010773071,59.5626183,1.011695761,6.390788533
11.629,1.565436957,1.010500918,59.56070785,1.012469643,6.475847549
11.63,1.656639565,1.010566155,59.56797234,1.010401004,6.471057703
11.631,1.547835709,1.01067923,59.57432396,1.012082671,6.442138932
11.632,1.580938291,1.010422171,59.5798774,1.01191879,6.517098221
11.633,1.611408654,1.010590274,59.58473298,1.010635546,6.48139945
11.634,1.510111768,1.010594008,59.58102604,1.012434116,6.493368886
11.635,1.594644087,1.010320934,59.57778492,1.011203695,6.557557645
11.636,1.591879804,1.010641924,59.57081827,1.010841032,6.493425834
11.637,1.512736695,1.010471654,59.56472708,1.012518934,6.520496106
11.638,1.566232035,1.010326023,59.55082182,1.010596872,6.567465407
