t|Main,AllBesses,All_LM_Power,all_Loads
0.204,-0.253266405,53.29935030399999,53.04608389
0.205,-0.25599762,53.006109015999996,52.75011139
0.206,-0.26038487,52.97791522400001,52.71753036
0.207,-0.265925018,53.396185936,53.13026092
0.208,-0.25717098,52.948555312,52.69138432
0.209,-0.264004672,53.149106576,52.8851019
0.21,-0.27149009,53.414134591999996,53.1426445
0.211,-0.261513594,52.955076975999994,52.69356338
0.212,-0.264949164,53.3289904,53.06404124
0.213,-0.266166088,53.37236375999999,53.10619768
0.214,-0.26403925100000003,53.031359656,52.76732041
0.215,-0.259840162,53.491081376000004,53.23124121
0.216,-0.260746624,53.30442252,53.0436759
0.217,-0.262407278,53.16155411199999,52.89914683
0.218,-0.263514168,53.622361152,53.358846979999996
0.219,-0.254795178,53.23599367999999,52.98119852
0.22,-0.26257548900000005,53.331257408,53.06868192
0.221,-0.263709158,53.680572256,53.4168631
0.222,-0.252259294,53.20917465600001,52.956915359999996
0.223,-0.254930509,53.502681848,53.24775135
0.224,-0.25633833,53.657600904,53.40126258
0.225,-0.251470022,53.24367541599999,52.992205389999995
0.226,-0.247317322,53.665033664000006,53.41771634
0.227,-0.251771918,53.591725192000006,53.339953279999996
0.228,-0.251343052,53.338391431999995,53.08704839
0.229,-0.252393992,53.81223164800001,53.55983766
0.23,-0.252639497,53.519253680000006,53.26661419
0.231,-0.255341494,53.493128631999994,53.23778714
0.232,-0.253774995,53.909443136,53.65566814
0.233,-0.255293778,53.47783784,53.22254406
0.234,-0.258113796,53.679449072000004,53.421335279999994
0.235,-0.26473421100000005,53.947921576,53.68318737
0.236,-0.25685679699999997,53.49407592,53.23721911
0.237,-0.25873326500000005,53.867532696000005,53.60879943
0.238,-0.267922041,53.918251575999996,53.65032954
0.239,-0.262004824,53.571344399999994,53.30933957
0.24,-0.26046006499999996,54.029986087999994,53.769526029999994
0.241,-0.263657633,53.84147480000001,53.57781717
0.242,-0.264070833,53.69290260000001,53.42883177
0.243,-0.258520773,54.143482496,53.88496173
0.244,-0.25757692499999996,53.76268776799999,53.50511085000001
0.245,-0.25965832099999997,53.851396304,53.591737970000004
0.246,-0.26050034099999997,54.201929408000005,53.94142907
0.247,-0.254111407,53.738728687999995,53.48461727
0.248,-0.257573967,54.037136208,53.77956224
0.249,-0.261593367,54.199529176,53.93793581
0.25,-0.25989476300000003,53.793781640000006,53.533886880000004
0.251,-0.254122439,54.677462655999996,54.42334022
0.252,-0.26105057499999995,55.215539928,54.95448935
0.253,-0.25623815699999997,55.378341256,55.1221031
0.254,-0.25578875,56.17023268000001,55.91444394
0.255,-0.251599617,56.151912384000006,55.90031277
0.256,-0.258399602,56.346205456,56.08780585
0.257,-0.256848906,56.93030915999999,56.67346024999999
0.258,-0.252824775,56.640630856000016,56.387806069999996
0.259,-0.258317014,56.945302648,56.68698563
0.26,-0.26563679,57.276133159999986,57.010496370000006
0.261,-0.252610356,56.882891432,56.63028108
0.262,-0.254342102,57.30300638400001,57.04866428
0.263,-0.257476678,57.391021927999994,57.13354525
0.264,-0.256544964,57.113611848,56.857066880000005
0.265,-0.252671292,57.625556416,57.37288512
0.266,-0.254944956,57.49271298399999,57.23776802
0.267,-0.254167378,57.396882463999994,57.142715089999996
0.268,-0.254965977,57.895652616,57.64068664
0.269,-0.248639835,57.559913968,57.311274129999994
0.27,-0.258518244,57.699076848,57.4405586
0.271,-0.26160504900000003,58.083854088,57.82224904
0.272,-0.253835016,57.661947752,57.40811274
0.273,-0.258817568,57.99373576,57.734918189999995
0.274,-0.25890106700000004,58.18062766399999,57.921726590000006
0.275,-0.25335151300000003,57.817280256,57.56392874
0.276,-0.25664285,58.28328231199999,58.02663946
0.277,-0.260598218,58.244741296000015,57.98414306
0.278,-0.259322502,58.031928055999984,57.77260556
0.279,-0.256070997,58.525307936,58.26923693
0.28,-0.25819962900000004,58.26393331999999,58.00573369
0.281,-0.260880707,58.266067384,58.005186679999994
0.282,-0.265042604,58.703327952,58.43828535
0.283,-0.257810006,58.28690996800002,58.02909997
0.284,-0.264957028,58.508202256,58.24324523
0.285,-0.270232746,58.786058831999995,58.51582609
0.286,-0.263660252,58.356995648,58.09333540000001
0.287,-0.263258207,58.74146990399999,58.4782117
0.288,-0.271069948,58.80363302400001,58.53256308
0.289,-0.265606212,58.479736112000005,58.2141299
0.29,-0.26824561,58.952140928,58.683895320000005
0.291,-0.26587702300000005,58.77406484,58.50818782
0.292,-0.270711731,58.65117154400001,58.38045981
0.293,-0.272212088,59.115372687999994,58.843160600000004
0.294,-0.264440624,58.74357627199999,58.47913564
0.295,-0.27074417100000003,58.848391504,58.57764734
0.296,-0.27231024800000003,59.201200551999996,58.9288903
0.297,-0.264272144,58.749991560000005,58.485719419999995
0.298,-0.266006179,59.050177344000005,58.78417116
0.299,-0.27488903,59.215668328,58.94077929000001
0.3,-0.269353524,58.81609028000001,58.54673677
0.301,-0.25594242899999997,59.101890104,58.845947669999994
0.302,-0.305816244,59.06218444,58.7563682
0.303,-0.243145711,58.844193512,58.601047799999996
0.304,-0.27365237,59.176086368000014,58.902434
0.305,-0.290402108,58.96583384000001,58.67543173
0.306,-0.23857615100000001,58.90379503999999,58.66521889
0.307,-0.286842459,59.20479236,58.91794991
0.308,-0.263550831,58.903080816,58.63952999
0.309,-0.242456728,59.02258788,58.78013115
0.31,-0.29218433899999996,59.21869820799999,58.926513879999995
0.311,-0.23656681200000002,58.89182811199999,58.6552613
0.312,-0.251823123,59.141257575999994,58.889434449999996
0.313,-0.291367354,59.193911367999995,58.90254401999999
0.314,-0.218773675,58.92697608000002,58.7082024
0.315,-0.26438591899999997,59.259975056000016,58.995589130000006
0.316,-0.28464571699999996,59.16689206400001,58.88224635
0.317,-0.216891868,59.002455903999994,58.78556405
0.318,-0.276205741,59.326485568,59.05027984
0.319,-0.267956933,59.087007439999994,58.819050499999996
0.32,-0.231980417,59.067116928000004,58.83513651
0.321,-0.294793016,59.32652603999999,59.031733020000004
0.322,-0.23580800200000002,58.996136799999995,58.76032879
0.323,-0.250295751,59.135653064,58.88535732
0.324,-0.291408519,59.274527504,58.98311899
0.325,-0.21359483,58.931913351999995,58.718318520000004
0.326,-0.267825788,59.18822224000001,58.92039644
0.327,-0.27867670899999997,59.17775998399999,58.89908327
0.328,-0.206639919,58.90169073599999,58.69505082
0.329,-0.280761194,59.23225617600001,58.95149499
0.33,-0.25811285100000003,59.08220996,58.82409711
0.331,-0.222182449,58.93963484799998,58.71745240999999
0.332,-0.288029903,59.26290161600001,58.97487171
0.333,-0.23180793,58.969464936,58.737657
0.334,-0.24549496199999998,58.98295095999999,58.73745599
0.335,-0.276559204,59.213282088000014,58.936722880000005
0.336,-0.208592034,58.845359336,58.636767309999996
0.337,-0.27273726099999995,59.03302856,58.760291290000005
0.338,-0.265093461,59.12803143999999,58.86293797
0.339,-0.200959619,58.757756944,58.556797319999994
0.34,-0.28251153100000004,59.06488985599999,58.78237833
0.341,-0.251552239,58.995741087999996,58.74418885
0.342,-0.216935618,58.727937608,58.511002
0.343,-0.288186702,59.09155251200001,58.80336581
0.344,-0.237522042,58.85857008800001,58.62104804
0.345,-0.238136256,58.76345761599999,58.52532136
0.346,-0.28022667300000004,59.08264946399999,58.802422789999994
0.347,-0.224010176,58.74572472800001,58.52171456000001
0.348,-0.26763131500000004,58.857840296,58.59020898000001
0.349,-0.26889887700000004,59.054080456,58.78518158
0.35,-0.204906185,58.68714188799999,58.48223571
0.351,-0.28495606900000003,58.969752448,58.68479638
0.352,-0.255916343,58.99999731999999,58.74408097
0.353,-0.210535268,58.687957352000005,58.477422090000005
0.354,-0.297015472,59.052780288,58.75576481
0.355,-0.25158413,58.906699,58.655114870000006
0.356,-0.235905636,58.729239528,58.49333389
0.357,-0.290099332,59.08299504000001,58.792895709999996
0.358,-0.236001324,58.790246064000016,58.55424474
0.359,-0.26009903300000004,58.80130675200001,58.541207719999996
0.36,-0.28449203,59.064166376,58.77967434000001
0.361,-0.222851469,58.698102872,58.47525141
0.362,-0.287455836,58.899592456,58.61213662
0.363,-0.27338302999999997,59.014528128,58.74114509
0.364,-0.218093617,58.66510447999998,58.44701086
0.365,-0.299614155,58.99764323199999,58.69802908
0.366,-0.255750115,58.93481032,58.67906021
0.367,-0.226745393,58.686830288,58.46008489
0.368,-0.296613483,59.055163688,58.7585502
0.369,-0.249475615,58.839294144,58.58981852
0.37,-0.252812586,58.755788744000014,58.50297616
0.371,-0.293495559,59.08052596800001,58.78703041
0.372,-0.235527171,58.744189271999986,58.508662089999994
0.373,-0.279572987,58.854993575999984,58.57542058999999
0.374,-0.280811841,59.046186744,58.765374910000006
0.375,-0.218928867,58.67461372000001,58.45568485
0.376,-0.29527290100000003,58.950202112,58.65492922
0.377,-0.256942121,58.96778559199999,58.71084346
0.378,-0.216567673,58.656218648,58.43965097
0.379,-0.293619838,59.013980855999996,58.72036102
0.38,-0.245527076,58.869078032,58.62355096
0.381,-0.230838017,58.69597548000001,58.46513746
0.382,-0.285893559,59.05639492800002,58.77050136
0.383,-0.235096503,58.773922288,58.53882578
0.384,-0.255479386,58.78930376,58.53382436
0.385,-0.27395864,59.05506879199999,58.781110160000004
